WeaponType,Weapon,Skin
Knife,Gut,Slaughter
Knife,Gut,Urban Masked
Knife,Gut,Night
Knife,Gut,Boreal Forest
Knife,Gut,Forest DDPAT
Knife,Gut,Safari Mesh
Knife,Gut,Scorched
Knife,Huntsman,Vanilla
Knife,Huntsman,Lore
Knife,Huntsman,Gamma Doppler Phase 1
Knife,Huntsman,Gamma Doppler Phase 2
Knife,Huntsman,Gamma Doppler Phase 3
Knife,Huntsman,Gamma Doppler Phase 4
Knife,Huntsman,Gamma Doppler Emerald
Knife,Huntsman,Autotronic
Knife,Huntsman,Black Laminate
Knife,Huntsman,Freehand
Knife,Huntsman,Bright Water
Knife,Huntsman,Marble Fade
Knife,Huntsman,Doppler Phase 1
Knife,Huntsman,Doppler Phase 2
Knife,Huntsman,Doppler Phase 3
Knife,Huntsman,Doppler Phase 4
Knife,Huntsman,Doppler Ruby
Knife,Huntsman,Doppler Sapphire
Knife,Huntsman,Doppler Black Pearl
Knife,Huntsman,Tiger Tooth
Knife,Huntsman,Ultraviolet
Knife,Huntsman,Damascus Steel
Knife,Huntsman,Rust Coat
Knife,Huntsman,Urban Masked
Knife,Huntsman,Fade
Knife,Huntsman,Boreal Forest
Knife,Huntsman,Slaughter
Knife,Huntsman,Case Hardened
Knife,Huntsman,Crimson Web
Knife,Huntsman,Blue Steel
Knife,Huntsman,Safari Mesh
Knife,Huntsman,Night
Knife,Huntsman,Stained
Knife,Huntsman,Scorched
Knife,Huntsman,Forest DDPAT
Knife,Karambit,Vanilla
Knife,Karambit,Gamma Doppler Phase 1
Knife,Karambit,Gamma Doppler Phase 2
Knife,Karambit,Gamma Doppler Phase 3
Knife,Karambit,Gamma Doppler Phase 4
Knife,Karambit,Gamma Doppler Emerald
Knife,Karambit,Lore
Knife,Karambit,Autotronic
Knife,Karambit,Black Laminate
Knife,Karambit,Freehand
Knife,Karambit,Bright Water
Knife,Karambit,Marble Fade
Knife,Karambit,Tiger Tooth
Knife,Karambit,Doppler Phase 1
Knife,Karambit,Doppler Phase 2
Knife,Karambit,Doppler Phase 3
Knife,Karambit,Doppler Phase 4
Knife,Karambit,Doppler Ruby
Knife,Karambit,Doppler Sapphire
Knife,Karambit,Doppler Black Pearl
Knife,Karambit,Damascus Steel
Knife,Karambit,Ultraviolet
Knife,Karambit,Rust Coat
Knife,Karambit,Fade
Knife,Karambit,Slaughter
Knife,Karambit,Case Hardened
Knife,Karambit,Crimson Web
Knife,Karambit,Night
Knife,Karambit,Blue Steel
Knife,Karambit,Stained
Knife,Karambit,Boreal Forest
Knife,Karambit,Safari Mesh
Knife,Karambit,Scorched
Knife,Karambit,Forest DDPAT
Knife,Karambit,Urban Masked
Knife,Kukri,Vanilla
Knife,Kukri,Slaughter
Knife,Kukri,Fade
Knife,Kukri,Crimson Web
Knife,Kukri,Case Hardened
Knife,Kukri,Stained
Knife,Kukri,Blue Steel
Knife,Kukri,Safari Mesh
Knife,Kukri,Night Stripe
Knife,Kukri,Scorched
Knife,Kukri,Forest DDPAT
Knife,Kukri,Urban Masked
Knife,Kukri,Boreal Forest
Knife,M9 Bayonet,Vanilla
Knife,M9 Bayonet,Lore
Knife,M9 Bayonet,Gamma Doppler Phase 1
Knife,M9 Bayonet,Gamma Doppler Phase 2
Knife,M9 Bayonet,Gamma Doppler Phase 3
Knife,M9 Bayonet,Gamma Doppler Phase 4
Knife,M9 Bayonet,Gamma Doppler Emerald
Knife,M9 Bayonet,Autotronic
Knife,M9 Bayonet,Freehand
Knife,M9 Bayonet,Black Laminate
Knife,M9 Bayonet,Bright Water
Knife,M9 Bayonet,Marble Fade
Knife,M9 Bayonet,Doppler Phase 1
Knife,M9 Bayonet,Doppler Phase 2
Knife,M9 Bayonet,Doppler Phase 3
Knife,M9 Bayonet,Doppler Phase 4
Knife,M9 Bayonet,Doppler Ruby
Knife,M9 Bayonet,Doppler Sapphire
Knife,M9 Bayonet,Doppler Black Pearl
Knife,M9 Bayonet,Tiger Tooth
Knife,M9 Bayonet,Ultraviolet
Knife,M9 Bayonet,Rust Coat
Knife,M9 Bayonet,Damascus Steel
Knife,M9 Bayonet,Fade
Knife,M9 Bayonet,Slaughter
Knife,M9 Bayonet,Case Hardened
Knife,M9 Bayonet,Crimson Web
Knife,M9 Bayonet,Blue Steel
Knife,M9 Bayonet,Night
Knife,M9 Bayonet,Stained
Knife,M9 Bayonet,Boreal Forest
Knife,M9 Bayonet,Scorched
Knife,M9 Bayonet,Forest DDPAT
Knife,M9 Bayonet,Urban Masked
Knife,M9 Bayonet,Safari Mesh
Knife,Navaja,Vanilla
Knife,Navaja,Doppler Phase 1
Knife,Navaja,Doppler Phase 2
Knife,Navaja,Doppler Phase 3
Knife,Navaja,Doppler Phase 4
Knife,Navaja,Doppler Ruby
Knife,Navaja,Doppler Sapphire
Knife,Navaja,Doppler Black Pearl
Knife,Navaja,Marble Fade
Knife,Navaja,Tiger Tooth
Knife,Navaja,Damascus Steel
Knife,Navaja,Ultraviolet
Knife,Navaja,Rust Coat
Knife,Navaja,Fade
Knife,Navaja,Night Stripe
Knife,Navaja,Slaughter
Knife,Navaja,Crimson Web
Knife,Navaja,Case Hardened
Knife,Navaja,Urban Masked
Knife,Navaja,Blue Steel
Knife,Navaja,Scorched
Knife,Navaja,Stained
Knife,Navaja,Forest DDPAT
Knife,Navaja,Safari Mesh
Knife,Navaja,Boreal Forest
Knife,Nomad,Vanilla
Knife,Nomad,Fade
Knife,Nomad,Slaughter
Knife,Nomad,Crimson Web
Knife,Nomad,Stained
Knife,Nomad,Night Stripe
Knife,Nomad,Case Hardened
Knife,Nomad,Forest DDPAT
Knife,Nomad,Blue Steel
Knife,Nomad,Urban Masked
Knife,Nomad,Scorched
Knife,Nomad,Boreal Forest
Knife,Nomad,Safari Mesh
Knife,Paracord,Vanilla
Knife,Paracord,Fade
Knife,Paracord,Crimson Web
Knife,Paracord,Slaughter
Knife,Paracord,Boreal Forest
Knife,Paracord,Case Hardened
Knife,Paracord,Blue Steel
Knife,Paracord,Night Stripe
Knife,Paracord,Forest DDPAT
Knife,Paracord,Scorched
Knife,Paracord,Safari Mesh
Knife,Paracord,Urban Masked
Knife,Paracord,Stained
Knife,Shadow Daggers,Vanilla
Knife,Shadow Daggers,Gamma Doppler Phase 1
Knife,Shadow Daggers,Gamma Doppler Phase 2
Knife,Shadow Daggers,Gamma Doppler Phase 3
Knife,Shadow Daggers,Gamma Doppler Phase 4
Knife,Shadow Daggers,Gamma Doppler Emerald
Knife,Shadow Daggers,Lore
Knife,Shadow Daggers,Autotronic
Knife,Shadow Daggers,Black Laminate
Knife,Shadow Daggers,Freehand
Knife,Shadow Daggers,Bright Water
Knife,Shadow Daggers,Doppler Phase 1
Knife,Shadow Daggers,Doppler Phase 2
Knife,Shadow Daggers,Doppler Phase 3
Knife,Shadow Daggers,Doppler Phase 4
Knife,Shadow Daggers,Doppler Ruby
Knife,Shadow Daggers,Doppler Sapphire
Knife,Shadow Daggers,Doppler Black Pearl
Knife,Shadow Daggers,Marble Fade
Knife,Shadow Daggers,Tiger Tooth
Knife,Shadow Daggers,Damascus Steel
Knife,Shadow Daggers,Ultraviolet
Knife,Shadow Daggers,Rust Coat
Knife,Shadow Daggers,Fade
Knife,Shadow Daggers,Case Hardened
Knife,Shadow Daggers,Crimson Web
Knife,Shadow Daggers,Slaughter
Knife,Shadow Daggers,Blue Steel
Knife,Shadow Daggers,Scorched
Knife,Shadow Daggers,Forest DDPAT
Knife,Shadow Daggers,Urban Masked
Knife,Shadow Daggers,Night
Knife,Shadow Daggers,Stained
Knife,Shadow Daggers,Safari Mesh
Knife,Shadow Daggers,Boreal Forest
Knife,Skeleton,Vanilla
Knife,Skeleton,Crimson Web
Knife,Skeleton,Fade
Knife,Skeleton,Slaughter
Knife,Skeleton,Case Hardened
Knife,Skeleton,Blue Steel
Knife,Skeleton,Stained
Knife,Skeleton,Forest DDPAT
Knife,Skeleton,Night Stripe
Knife,Skeleton,Urban Masked
Knife,Skeleton,Boreal Forest
Knife,Skeleton,Safari Mesh
Knife,Skeleton,Scorched
Knife,Stiletto,Vanilla
Knife,Stiletto,Rust Coat
Knife,Stiletto,Marble Fade
Knife,Stiletto,Doppler Phase 1
Knife,Stiletto,Doppler Phase 2
Knife,Stiletto,Doppler Phase 3
Knife,Stiletto,Doppler Phase 4
Knife,Stiletto,Doppler Ruby
Knife,Stiletto,Doppler Sapphire
Knife,Stiletto,Doppler Black Pearl
Knife,Stiletto,Tiger Tooth
Knife,Stiletto,Ultraviolet
Knife,Stiletto,Damascus Steel
Knife,Stiletto,Fade
Knife,Stiletto,Crimson Web
Knife,Stiletto,Slaughter
Knife,Stiletto,Case Hardened
Knife,Stiletto,Night Stripe
Knife,Stiletto,Stained
Knife,Stiletto,Safari Mesh
Knife,Stiletto,Blue Steel
Knife,Stiletto,Boreal Forest
Knife,Stiletto,Urban Masked
Knife,Stiletto,Scorched
Knife,Stiletto,Forest DDPAT
Knife,Survival,Vanilla
Knife,Survival,Fade
Knife,Survival,Crimson Web
Knife,Survival,Slaughter
Knife,Survival,Case Hardened
Knife,Survival,Blue Steel
Knife,Survival,Boreal Forest
Knife,Survival,Night Stripe
Knife,Survival,Stained
Knife,Survival,Forest DDPAT
Knife,Survival,Scorched
Knife,Survival,Safari Mesh
Knife,Survival,Urban Masked
Knife,Talon,Vanilla
Knife,Talon,Doppler Phase 1
Knife,Talon,Doppler Phase 2
Knife,Talon,Doppler Phase 3
Knife,Talon,Doppler Phase 4
Knife,Talon,Doppler Ruby
Knife,Talon,Doppler Sapphire
Knife,Talon,Doppler Black Pearl
Knife,Talon,Marble Fade
Knife,Talon,Tiger Tooth
Knife,Talon,Damascus Steel
Knife,Talon,Rust Coat
Knife,Talon,Ultraviolet
Knife,Talon,Fade
Knife,Talon,Crimson Web
Knife,Talon,Slaughter
Knife,Talon,Case Hardened
Knife,Talon,Blue Steel
Knife,Talon,Stained
Knife,Talon,Night Stripe
Knife,Talon,Scorched
Knife,Talon,Forest DDPAT
Knife,Talon,Urban Masked
Knife,Talon,Boreal Forest
Knife,Talon,Safari Mesh
Knife,Ursus,Vanilla
Knife,Ursus,Marble Fade
Knife,Ursus,Tiger Tooth
Knife,Ursus,Doppler Phase 1
Knife,Ursus,Doppler Phase 2
Knife,Ursus,Doppler Phase 3
Knife,Ursus,Doppler Phase 4
Knife,Ursus,Doppler Ruby
Knife,Ursus,Doppler Sapphire
Knife,Ursus,Doppler Black Pearl
Knife,Ursus,Damascus Steel
Knife,Ursus,Ultraviolet
Knife,Ursus,Rust Coat
Knife,Ursus,Fade
Knife,Ursus,Slaughter
Knife,Ursus,Crimson Web
Knife,Ursus,Case Hardened
Knife,Ursus,Blue Steel
Knife,Ursus,Urban Masked
Knife,Ursus,Stained
Knife,Ursus,Night Stripe
Knife,Ursus,Forest DDPAT
Knife,Ursus,Boreal Forest
Knife,Ursus,Scorched
Knife,Ursus,Safari Mesh
Knife,Bowie,Vanilla
Knife,Bowie,Autotronic
Knife,Bowie,Gamma Doppler Phase 1
Knife,Bowie,Gamma Doppler Phase 2
Knife,Bowie,Gamma Doppler Phase 3
Knife,Bowie,Gamma Doppler Phase 4
Knife,Bowie,Gamma Doppler Emerald
Knife,Bowie,Lore
Knife,Bowie,Bright Water
Knife,Bowie,Black Laminate
Knife,Bowie,Freehand
Knife,Bowie,Marble Fade
Knife,Bowie,Tiger Tooth
Knife,Bowie,Doppler Phase 1
Knife,Bowie,Doppler Phase 2
Knife,Bowie,Doppler Phase 3
Knife,Bowie,Doppler Phase 4
Knife,Bowie,Doppler Ruby
Knife,Bowie,Doppler Sapphire
Knife,Bowie,Doppler Black Pearl
Knife,Bowie,Ultraviolet
Knife,Bowie,Damascus Steel
Knife,Bowie,Rust Coat
Knife,Bowie,Fade
Knife,Bowie,Night
Knife,Bowie,Slaughter
Knife,Bowie,Crimson Web
Knife,Bowie,Case Hardened
Knife,Bowie,Stained
Knife,Bowie,Boreal Forest
Knife,Bowie,Blue Steel
Knife,Bowie,Forest DDPAT
Knife,Bowie,Scorched
Knife,Bowie,Urban Masked
Knife,Bowie,Safari Mesh
Knife,Butterfly,Vanilla
Knife,Butterfly,Gamma Doppler Phase 1
Knife,Butterfly,Gamma Doppler Phase 2
Knife,Butterfly,Gamma Doppler Phase 3
Knife,Butterfly,Gamma Doppler Phase 4
Knife,Butterfly,Gamma Doppler Emerald
Knife,Butterfly,Autotronic
Knife,Butterfly,Black Laminate
Knife,Butterfly,Bright Water
Knife,Butterfly,Freehand
Knife,Butterfly,Lore
Knife,Butterfly,Marble Fade
Knife,Butterfly,Tiger Tooth
Knife,Butterfly,Doppler Phase 1
Knife,Butterfly,Doppler Phase 2
Knife,Butterfly,Doppler Phase 3
Knife,Butterfly,Doppler Phase 4
Knife,Butterfly,Doppler Ruby
Knife,Butterfly,Doppler Sapphire
Knife,Butterfly,Doppler Black Pearl
Knife,Butterfly,Damascus Steel
Knife,Butterfly,Rust Coat
Knife,Butterfly,Ultraviolet
Knife,Butterfly,Slaughter
Knife,Butterfly,Crimson Web
Knife,Butterfly,Blue Steel
Knife,Butterfly,Case Hardened
Knife,Butterfly,Night
Knife,Butterfly,Stained
Knife,Butterfly,Forest DDPAT
Knife,Butterfly,Boreal Forest
Knife,Butterfly,Urban Masked
Knife,Butterfly,Safari Mesh
Knife,Butterfly,Scorched
Knife,Butterfly,Fade
Knife,Classic,Vanilla
Knife,Classic,Fade
Knife,Classic,Crimson Web
Knife,Classic,Forest DDPAT
Knife,Classic,Safari Mesh
Knife,Classic,Slaughter
Knife,Classic,Night Stripe
Knife,Classic,Case Hardened
Knife,Classic,Blue Steel
Knife,Classic,Boreal Forest
Knife,Classic,Urban Masked
Knife,Classic,Stained
Knife,Classic,Scorched
Knife,Falchion,Vanilla
Knife,Falchion,Gamma Doppler Phase 1
Knife,Falchion,Gamma Doppler Phase 2
Knife,Falchion,Gamma Doppler Phase 3
Knife,Falchion,Gamma Doppler Phase 4
Knife,Falchion,Gamma Doppler Emerald
Knife,Falchion,Lore
Knife,Falchion,Autotronic
Knife,Falchion,Bright Water
Knife,Falchion,Freehand
Knife,Falchion,Black Laminate
Knife,Falchion,Doppler Phase 1
Knife,Falchion,Doppler Phase 2
Knife,Falchion,Doppler Phase 3
Knife,Falchion,Doppler Phase 4
Knife,Falchion,Doppler Ruby
Knife,Falchion,Doppler Sapphire
Knife,Falchion,Doppler Black Pearl
Knife,Falchion,Marble Fade
Knife,Falchion,Tiger Tooth
Knife,Falchion,Ultraviolet
Knife,Falchion,Damascus Steel
Knife,Falchion,Rust Coat
Knife,Falchion,Safari Mesh
Knife,Falchion,Crimson Web
Knife,Falchion,Fade
Knife,Falchion,Case Hardened
Knife,Falchion,Boreal Forest
Knife,Falchion,Slaughter
Knife,Falchion,Night
Knife,Falchion,Urban Masked
Knife,Falchion,Blue Steel
Knife,Falchion,Stained
Knife,Falchion,Scorched
Knife,Falchion,Forest DDPAT
Knife,Flip,Vanilla
Knife,Flip,Lore
Knife,Flip,Gamma Doppler Phase 1
Knife,Flip,Gamma Doppler Phase 2
Knife,Flip,Gamma Doppler Phase 3
Knife,Flip,Gamma Doppler Phase 4
Knife,Flip,Gamma Doppler Emerald
Knife,Flip,Autotronic
Knife,Flip,Freehand
Knife,Flip,Bright Water
Knife,Flip,Black Laminate
Knife,Flip,Marble Fade
Knife,Flip,Tiger Tooth
Knife,Flip,Doppler Phase 1
Knife,Flip,Doppler Phase 2
Knife,Flip,Doppler Phase 3
Knife,Flip,Doppler Phase 4
Knife,Flip,Doppler Ruby
Knife,Flip,Doppler Sapphire
Knife,Flip,Doppler Black Pearl
Knife,Flip,Ultraviolet
Knife,Flip,Damascus Steel
Knife,Flip,Rust Coat
Knife,Flip,Crimson Web
Knife,Flip,Fade
Knife,Flip,Slaughter
Knife,Flip,Case Hardened
Knife,Flip,Blue Steel
Knife,Flip,Urban Masked
Knife,Flip,Stained
Knife,Flip,Night
Knife,Flip,Forest DDPAT
Knife,Flip,Safari Mesh
Knife,Flip,Scorched
Knife,Flip,Boreal Forest
